Vendor,GRAPHTEC Corporation,,,,,,,,,,,
Model,GL2000,,,,,,,,,,,
Version,Ver1.10,Rev0001,,,,,,,,,,
MaxChannel, 4CH,,,,,,,,,,,
Logic/Pulse, Off,,,,,,,,,,,
TempUnit, C,,,,,,,,,,,
Sampling interval, 200ms,,,,,,,,,,,
Total data points,3033,,,,,,,,,,,
Trigger,0,,,,,,,,,,,
Start time, 2021-12-29,14:14:32,,,,,,,,,,
End time, 2021-12-29,14:24:38,,,,,,,,,,
Trigger time, 2021-12-29,14:14:32,,,,,,,,,,
AMP settings,,,,,,,,,,,,
CH,Signal name,Amp,Input,Range,Filter,Span,,Unit,Color,,,Line Width
CH1," "" CH 1""", M, DC, 5V, Off,2.5,-2.5, V,28,5,6,0
CH2," "" CH 2""", M, DC, 5V, Off,2.5,-2.5, V,0,13,23,0
CH3," "" CH 3""", M, DC, 5V, Off,2.5,-2.5, V,9,22,8,0
Data,,,,,,,,,,,,
Number,Date,Time,us, CH1, CH2, CH3, Alarm,AlarmOut,,,,
NO.,Date,Time,us, V, V, V, A1234,AO1234,,,,
1,2021/12/29,14:14:32,0,-0.011,-0.013,-0.781,LLLL,LLLL,,,,
2,2021/12/29,14:14:32,200000,-0.009,-0.011,-0.781,LLLL,LLLL,,,,
3,2021/12/29,14:14:32,400000,-0.01,-0.011,-0.779,LLLL,LLLL,,,,
4,2021/12/29,14:14:32,600000,-0.009,-0.014,-0.778,LLLL,LLLL,,,,
5,2021/12/29,14:14:32,800000,-0.01,-0.015,-0.782,LLLL,LLLL,,,,
6,2021/12/29,14:14:33,0,-0.013,-0.012,-0.781,LLLL,LLLL,,,,
7,2021/12/29,14:14:33,200000,-0.011,-0.015,-0.78,LLLL,LLLL,,,,
8,2021/12/29,14:14:33,400000,-0.01,-0.013,-0.784,LLLL,LLLL,,,,
9,2021/12/29,14:14:33,600000,-0.011,-0.011,-0.781,LLLL,LLLL,,,,
10,2021/12/29,14:14:33,800000,-0.009,-0.011,-0.78,LLLL,LLLL,,,,
11,2021/12/29,14:14:34,0,-0.01,-0.011,-0.781,LLLL,LLLL,,,,
12,2021/12/29,14:14:34,200000,-0.009,-0.013,-0.782,LLLL,LLLL,,,,
13,2021/12/29,14:14:34,400000,-0.01,-0.013,-0.778,LLLL,LLLL,,,,
14,2021/12/29,14:14:34,600000,-0.011,-0.011,-0.78,LLLL,LLLL,,,,
15,2021/12/29,14:14:34,800000,-0.007,-0.012,-0.779,LLLL,LLLL,,,,
16,2021/12/29,14:14:35,0,-0.008,-0.012,-0.781,LLLL,LLLL,,,,
17,2021/12/29,14:14:35,200000,-0.015,-0.011,-0.779,LLLL,LLLL,,,,
18,2021/12/29,14:14:35,400000,-0.011,-0.009,-0.781,LLLL,LLLL,,,,
19,2021/12/29,14:14:35,600000,-0.009,-0.015,-0.782,LLLL,LLLL,,,,
20,2021/12/29,14:14:35,800000,-0.011,-0.013,-0.778,LLLL,LLLL,,,,
21,2021/12/29,14:14:36,0,-0.01,-0.013,-0.779,LLLL,LLLL,,,,
22,2021/12/29,14:14:36,200000,-0.009,-0.013,-0.784,LLLL,LLLL,,,,
23,2021/12/29,14:14:36,400000,-0.009,-0.011,-0.779,LLLL,LLLL,,,,
24,2021/12/29,14:14:36,600000,-0.013,-0.008,-0.779,LLLL,LLLL,,,,
25,2021/12/29,14:14:36,800000,-0.009,-0.012,-0.783,LLLL,LLLL,,,,
26,2021/12/29,14:14:37,0,-0.009,-0.012,-0.779,LLLL,LLLL,,,,
27,2021/12/29,14:14:37,200000,-0.011,-0.013,-0.779,LLLL,LLLL,,,,
28,2021/12/29,14:14:37,400000,-0.01,-0.013,-0.779,LLLL,LLLL,,,,
29,2021/12/29,14:14:37,600000,-0.011,-0.013,-0.783,LLLL,LLLL,,,,
30,2021/12/29,14:14:37,800000,-0.011,-0.015,-0.777,LLLL,LLLL,,,,
31,2021/12/29,14:14:38,0,-0.012,-0.012,-0.779,LLLL,LLLL,,,,
32,2021/12/29,14:14:38,200000,-0.009,-0.012,-0.784,LLLL,LLLL,,,,
33,2021/12/29,14:14:38,400000,-0.009,-0.015,-0.782,LLLL,LLLL,,,,
34,2021/12/29,14:14:38,600000,-0.01,-0.011,-0.78,LLLL,LLLL,,,,
35,2021/12/29,14:14:38,800000,-0.011,-0.009,-0.779,LLLL,LLLL,,,,
36,2021/12/29,14:14:39,0,-0.008,-0.011,-0.782,LLLL,LLLL,,,,
37,2021/12/29,14:14:39,200000,-0.01,-0.014,-0.779,LLLL,LLLL,,,,
38,2021/12/29,14:14:39,400000,-0.009,-0.011,-0.781,LLLL,LLLL,,,,
39,2021/12/29,14:14:39,600000,-0.01,-0.014,-0.781,LLLL,LLLL,,,,
40,2021/12/29,14:14:39,800000,-0.01,-0.013,-0.779,LLLL,LLLL,,,,
41,2021/12/29,14:14:40,0,-0.009,-0.012,-0.778,LLLL,LLLL,,,,
42,2021/12/29,14:14:40,200000,-0.011,-0.013,-0.78,LLLL,LLLL,,,,
43,2021/12/29,14:14:40,400000,-0.01,-0.012,-0.782,LLLL,LLLL,,,,
44,2021/12/29,14:14:40,600000,-0.012,-0.014,-0.78,LLLL,LLLL,,,,
45,2021/12/29,14:14:40,800000,-0.01,-0.014,-0.779,LLLL,LLLL,,,,
46,2021/12/29,14:14:41,0,-0.011,-0.013,-0.782,LLLL,LLLL,,,,
47,2021/12/29,14:14:41,200000,-0.011,-0.012,-0.781,LLLL,LLLL,,,,
48,2021/12/29,14:14:41,400000,-0.011,-0.01,-0.78,LLLL,LLLL,,,,
49,2021/12/29,14:14:41,600000,-0.01,-0.012,-0.782,LLLL,LLLL,,,,
50,2021/12/29,14:14:41,800000,-0.009,-0.011,-0.78,LLLL,LLLL,,,,
51,2021/12/29,14:14:42,0,-0.011,-0.013,-0.777,LLLL,LLLL,,,,
52,2021/12/29,14:14:42,200000,-0.007,-0.012,-0.778,LLLL,LLLL,,,,
53,2021/12/29,14:14:42,400000,-0.009,-0.013,-0.78,LLLL,LLLL,,,,
54,2021/12/29,14:14:42,600000,-0.011,-0.015,-0.781,LLLL,LLLL,,,,
55,2021/12/29,14:14:42,800000,-0.011,-0.011,-0.776,LLLL,LLLL,,,,
56,2021/12/29,14:14:43,0,-0.009,-0.01,-0.781,LLLL,LLLL,,,,
57,2021/12/29,14:14:43,200000,-0.007,-0.013,-0.78,LLLL,LLLL,,,,
58,2021/12/29,14:14:43,400000,-0.009,-0.012,-0.779,LLLL,LLLL,,,,
59,2021/12/29,14:14:43,600000,-0.009,-0.014,-0.781,LLLL,LLLL,,,,
60,2021/12/29,14:14:43,800000,-0.007,-0.015,-0.778,LLLL,LLLL,,,,
61,2021/12/29,14:14:44,0,-0.011,-0.013,-0.78,LLLL,LLLL,,,,
