Vendor,"GRAPHTEC Corporation"
Model,"GL2000"
Version,"Ver1.10","Rev0001"
MaxChannel, 4CH
Logic/Pulse, Off
TempUnit, C
Sampling interval, 200ms
Total data points,         3025
Trigger, 0
Start time, 2021-12-29,14:54:05
End time, 2021-12-29,15:04:11
Trigger time, 2021-12-29,14:54:06
AMP settings
CH,Signal name,Amp,Input,Range,Filter,Span,,Unit,Color,,,Line Width
CH1, " CH 1", M, DC, 5V, Off, +2.500, -2.500, V, 28, 5, 6, 0
CH2, " CH 2", M, DC, 5V, Off, +2.500, -2.500, V, 0, 13, 23, 0
CH3, " CH 3", M, DC, 5V, Off, +2.500, -2.500, V, 9, 22, 8, 0
Data
Number,Date,Time,us, CH1, CH2, CH3, Alarm,AlarmOut
NO.,Date,Time,us, V, V, V, A1234,AO1234
1,2021/12/29,14:54:06,000000,-0.012,-0.009,-0.776,LLLL,LLLL
2,2021/12/29,14:54:06,200000,-0.012,-0.007,-0.780,LLLL,LLLL
3,2021/12/29,14:54:06,400000,-0.012,-0.007,-0.780,LLLL,LLLL
4,2021/12/29,14:54:06,600000,-0.012,-0.005,-0.778,LLLL,LLLL
5,2021/12/29,14:54:06,800000,-0.011,-0.007,-0.779,LLLL,LLLL
6,2021/12/29,14:54:07,000000,-0.012,-0.007,-0.776,LLLL,LLLL
7,2021/12/29,14:54:07,200000,-0.011,-0.006,-0.782,LLLL,LLLL
8,2021/12/29,14:54:07,400000,-0.014,-0.005,-0.778,LLLL,LLLL
9,2021/12/29,14:54:07,600000,-0.014,-0.006,-0.777,LLLL,LLLL
10,2021/12/29,14:54:07,800000,-0.013,-0.004,-0.777,LLLL,LLLL
11,2021/12/29,14:54:08,000000,-0.014,-0.005,-0.775,LLLL,LLLL
12,2021/12/29,14:54:08,200000,-0.011,-0.006,-0.780,LLLL,LLLL
13,2021/12/29,14:54:08,400000,-0.012,-0.005,-0.779,LLLL,LLLL
14,2021/12/29,14:54:08,600000,-0.012,-0.006,-0.778,LLLL,LLLL
15,2021/12/29,14:54:08,800000,-0.012,-0.004,-0.777,LLLL,LLLL
16,2021/12/29,14:54:09,000000,-0.013,-0.008,-0.780,LLLL,LLLL
17,2021/12/29,14:54:09,200000,-0.013,-0.005,-0.775,LLLL,LLLL
18,2021/12/29,14:54:09,400000,-0.014,-0.007,-0.776,LLLL,LLLL
19,2021/12/29,14:54:09,600000,-0.013,-0.005,-0.777,LLLL,LLLL
20,2021/12/29,14:54:09,800000,-0.011,-0.005,-0.776,LLLL,LLLL
21,2021/12/29,14:54:10,000000,-0.014,-0.005,-0.778,LLLL,LLLL
22,2021/12/29,14:54:10,200000,-0.011,-0.006,-0.777,LLLL,LLLL
23,2021/12/29,14:54:10,400000,-0.012,-0.007,-0.777,LLLL,LLLL
24,2021/12/29,14:54:10,600000,-0.011,-0.007,-0.779,LLLL,LLLL
25,2021/12/29,14:54:10,800000,-0.012,-0.006,-0.778,LLLL,LLLL
26,2021/12/29,14:54:11,000000,-0.013,-0.007,-0.778,LLLL,LLLL
27,2021/12/29,14:54:11,200000,-0.011,-0.010,-0.776,LLLL,LLLL
28,2021/12/29,14:54:11,400000,-0.012,-0.008,-0.778,LLLL,LLLL
29,2021/12/29,14:54:11,600000,-0.009,-0.005,-0.780,LLLL,LLLL
30,2021/12/29,14:54:11,800000,-0.013,-0.005,-0.779,LLLL,LLLL
31,2021/12/29,14:54:12,000000,-0.014,-0.002,-0.779,LLLL,LLLL
32,2021/12/29,14:54:12,200000,-0.010,-0.003,-0.778,LLLL,LLLL
33,2021/12/29,14:54:12,400000,-0.011,-0.006,-0.779,LLLL,LLLL
34,2021/12/29,14:54:12,600000,-0.011,-0.008,-0.779,LLLL,LLLL
35,2021/12/29,14:54:12,800000,-0.013,-0.009,-0.779,LLLL,LLLL
36,2021/12/29,14:54:13,000000,-0.011,-0.010,-0.779,LLLL,LLLL
37,2021/12/29,14:54:13,200000,-0.012,-0.005,-0.778,LLLL,LLLL
38,2021/12/29,14:54:13,400000,-0.015,-0.005,-0.777,LLLL,LLLL
39,2021/12/29,14:54:13,600000,-0.011,-0.002,-0.778,LLLL,LLLL
40,2021/12/29,14:54:13,800000,-0.011,-0.004,-0.778,LLLL,LLLL
41,2021/12/29,14:54:14,000000,-0.013,-0.005,-0.779,LLLL,LLLL
42,2021/12/29,14:54:14,200000,-0.012,-0.005,-0.774,LLLL,LLLL
43,2021/12/29,14:54:14,400000,-0.012,-0.009,-0.780,LLLL,LLLL
44,2021/12/29,14:54:14,600000,-0.008,-0.008,-0.776,LLLL,LLLL
45,2021/12/29,14:54:14,800000,-0.013,-0.007,-0.778,LLLL,LLLL
46,2021/12/29,14:54:15,000000,-0.011,-0.005,-0.778,LLLL,LLLL
47,2021/12/29,14:54:15,200000,-0.012,-0.007,-0.779,LLLL,LLLL
48,2021/12/29,14:54:15,400000,-0.014,-0.006,-0.777,LLLL,LLLL
49,2021/12/29,14:54:15,600000,-0.011,-0.005,-0.776,LLLL,LLLL
50,2021/12/29,14:54:15,800000,-0.009,-0.005,-0.777,LLLL,LLLL
51,2021/12/29,14:54:16,000000,-0.013,-0.007,-0.778,LLLL,LLLL
52,2021/12/29,14:54:16,200000,-0.012,-0.005,-0.777,LLLL,LLLL
