ベンダ,"GRAPHTEC Corporation"
モデル,"GL2000"
バージョン,"Ver1.10  ","Rev0001"
最大CH数,4
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,       655
トリガ点,         0
開始時刻,2021-07-31,14:22:43
終了時刻,2021-07-31,14:33:37
トリガ時刻,2021-07-31,14:22:43
アンプ設定
CH,信号名,アンプ,入力,レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1,"CH1","M",DC,10V,Off,+5.000,-5.000,V,28,5,6,0
CH2,"CH2","M",DC,10V,Off,+5.000,-5.000,V,0,13,23,0
XY設定
XY,トレース,X軸,Y軸
XY1,On,CH1,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH4
XY4,Off,CH1,CH2
ポジション・バーニア設定
CH,ポジション,バーニア
CH1,50%,100.0%
CH2,50%,100.0%
CH3,50%,100.0%
CH4,50%,100.0%
測定値
番号,日付,時間,us,CH1,CH2,Alarm,AlarmOut
NO.,Date,Time,us,"V","V","A1234","AO1234"
         1,2021/7/31,14:22:43,     0,- 0.007,- 0.071,LLLL,LLLL
         2,2021/7/31,14:22:44,     0,- 0.027,- 0.101,LLLL,LLLL
         3,2021/7/31,14:22:45,     0,- 0.061,- 0.083,LLLL,LLLL
         4,2021/7/31,14:22:46,     0,- 0.039,- 0.051,LLLL,LLLL
         5,2021/7/31,14:22:47,     0,- 0.025,- 0.093,LLLL,LLLL
         6,2021/7/31,14:22:48,     0,- 0.054,- 0.030,LLLL,LLLL
         7,2021/7/31,14:22:49,     0,- 0.052,- 0.069,LLLL,LLLL
         8,2021/7/31,14:22:50,     0,- 0.033,- 0.082,LLLL,LLLL
         9,2021/7/31,14:22:51,     0,- 0.037,- 0.102,LLLL,LLLL
        10,2021/7/31,14:22:52,     0,- 0.062,- 0.085,LLLL,LLLL
        11,2021/7/31,14:22:53,     0,- 0.056,- 0.093,LLLL,LLLL
        12,2021/7/31,14:22:54,     0,- 0.053,- 0.070,LLLL,LLLL
